part_number,manufacture
140528,SCANIA
684864,SCANIA
269733,SCANIA
217517,SCANIA
219517,SCANIA
1381235,SCANIA
153468,SCANIA
173171,SCANIA
1117285,SCANIA
1372444,SCANIA
1411894,SCANIA
343144,SCANIA
1518512,SCANIA
364624,SCANIA
342988,SCANIA
342988,SCANIA
378396,SCANIA
1393640,SCANIA
1393640,SCANIA
1407702,SCANIA
1407702,SCANIA
1301696,SCANIA
261185,SCANIA
370754,SCANIA
371307,SCANIA
371307,SCANIA
395773,SCANIA
370750,SCANIA
395776,SCANIA
1335679,SCANIA
1421022,SCANIA
1335678,SCANIA
1421021,SCANIA
1387549,SCANIA
1526087,SCANIA
1379952,SCANIA
1420197,SCANIA
1913503,SCANIA
1510905,SCANIA
