part_number,manufacture
0010225,SCANIA
0014091,SCANIA
0014103,SCANIA
0014623,SCANIA
014623,SCANIA
0014698,SCANIA
0014835,SCANIA
15323,SCANIA
0017113,SCANIA
0017146,SCANIA
0017384,SCANIA
0032898,SCANIA
0033352,SCANIA
0036977,SCANIA
0040607,SCANIA
41998,SCANIA
41999,SCANIA
42000,SCANIA
42001,SCANIA
0042751,SCANIA
0058510,SCANIA
0099307,SCANIA
0120252,SCANIA
0120310,SCANIA
0120824,SCANIA
0120828,SCANIA
0120912,SCANIA
0120913,SCANIA
0121257,SCANIA
0121301,SCANIA
0121302,SCANIA
0121305,SCANIA
0121306,SCANIA
0121469,SCANIA
0123102,SCANIA
0123134,SCANIA
0123135,SCANIA
0123137,SCANIA
0123249,SCANIA
0123250,SCANIA
0123629,SCANIA
0123630,SCANIA
0124404,SCANIA
0128035,SCANIA
0128036,SCANIA
0128680,SCANIA
0128681,SCANIA
0129168,SCANIA
0131516,SCANIA
0132601,SCANIA
0132602,SCANIA
0132650,SCANIA
0133011,SCANIA
0134380,SCANIA
0134494,SCANIA
0134494,SCANIA
0135035,SCANIA
0135036,SCANIA
0135698,SCANIA
0137207,SCANIA
0137749,SCANIA
0138849,SCANIA
0139044,SCANIA
0139128,SCANIA
0139129,SCANIA
0139189,SCANIA
0139471,SCANIA
0139472,SCANIA
0139616,SCANIA
0139625,SCANIA
0139915,SCANIA
0140180,SCANIA
0140528,SCANIA
0140529,SCANIA
0140530,SCANIA
0140531,SCANIA
0141163,SCANIA
0141164,SCANIA
0141168,SCANIA
0141964,SCANIA
0142506,SCANIA
0142575,SCANIA
0142729,SCANIA
0143112,SCANIA
0143113,SCANIA
0143118,SCANIA
0143631,SCANIA
0146526,SCANIA
0149475,SCANIA
0150257,SCANIA
0150262,SCANIA
0150812,SCANIA
0150814,SCANIA
0151476,SCANIA
0153115,SCANIA
0153287,SCANIA
0153468,SCANIA
0153474,SCANIA
0153682,SCANIA
0154259,SCANIA
0154261,SCANIA
0154262,SCANIA
0154448,SCANIA
0156938,SCANIA
0157199,SCANIA
0157287,SCANIA
0159496,SCANIA
0159656,SCANIA
0160342,SCANIA
0160444,SCANIA
0160445,SCANIA
0162346,SCANIA
0162347,SCANIA
0162349,SCANIA
0162382,SCANIA
0163257,SCANIA
0164061,SCANIA
0164151,SCANIA
0164417,SCANIA
0164433,SCANIA
0165282,SCANIA
0165286,SCANIA
0168248,SCANIA
0168778,SCANIA
0168781,SCANIA
0168782,SCANIA
0169133,SCANIA
0169135,SCANIA
0169136,SCANIA
0170042,SCANIA
0170056,SCANIA
0170057,SCANIA
170069,SCANIA
0170071,SCANIA
0170083,SCANIA
0170084,SCANIA
0170205,SCANIA
0170424,SCANIA
0170687,SCANIA
0170705,SCANIA
0170761,SCANIA
0170948,SCANIA
0170955,SCANIA
0171233,SCANIA
0171235,SCANIA
0171568,SCANIA
0172441,SCANIA
173171,SCANIA
0173320,SCANIA
0174494,SCANIA
0174531,SCANIA
0174717,SCANIA
0174783,SCANIA
0174784,SCANIA
0174785,SCANIA
0174786,SCANIA
0174806,SCANIA
0174985,SCANIA
0175111,SCANIA
0175998,SCANIA
0176815,SCANIA
0177655,SCANIA
0177834,SCANIA
0177893,SCANIA
0177941,SCANIA
0178866,SCANIA
0180064,SCANIA
0180435,SCANIA
0180475,SCANIA
0180998,SCANIA
0182342,SCANIA
0182503,SCANIA
0182927,SCANIA
0182929,SCANIA
0182930,SCANIA
0182931,SCANIA
0182933,SCANIA
0182935,SCANIA
0182936,SCANIA
0182974,SCANIA
0183924,SCANIA
0184054,SCANIA
0184055,SCANIA
0184490,SCANIA
0184602,SCANIA
0186491,SCANIA
0187719,SCANIA
0187720,SCANIA
0187727,SCANIA
0187728,SCANIA
0187730,SCANIA
0189044,SCANIA
0189118,SCANIA
0189462,SCANIA
0189568,SCANIA
0189849,SCANIA
0189884,SCANIA
0189885,SCANIA
0189908,SCANIA
0191438,SCANIA
0191672,SCANIA
0191993,SCANIA
0192003,SCANIA
0193988,SCANIA
0194041,SCANIA
0194329,SCANIA
0194337,SCANIA
0194347,SCANIA
0194349,SCANIA
194363,SCANIA
0194376,SCANIA
0194381,SCANIA
0194384,SCANIA
0194414,SCANIA
0194429,SCANIA
0194484,SCANIA
0194508,SCANIA
0194564,SCANIA
0194755,SCANIA
0194761,SCANIA
0194838,SCANIA
0195754,SCANIA
197800,SCANIA
0199846,SCANIA
0202335,SCANIA
0202635,SCANIA
202647,SCANIA
0203670,SCANIA
0204719,SCANIA
0204722,SCANIA
0204723,SCANIA
0204724,SCANIA
204727,SCANIA
0204728,SCANIA
0204731,SCANIA
204732,SCANIA
0204733,SCANIA
0204735,SCANIA
0204736,SCANIA
0204737,SCANIA
0204746,SCANIA
0204749,SCANIA
0204750,SCANIA
0205118,SCANIA
0205394,SCANIA
0207158,SCANIA
0207523,SCANIA
0207550,SCANIA
0208179,SCANIA
0208198,SCANIA
0208394,SCANIA
0208518,SCANIA
0209152,SCANIA
0209153,SCANIA
0209153,SCANIA
0209212,SCANIA
0211005,SCANIA
0211694,SCANIA
0211779,SCANIA
211813,SCANIA
0211827,SCANIA
0213604,SCANIA
0213606,SCANIA
0213607,SCANIA
0213742,SCANIA
0214075,SCANIA
0214119,SCANIA
0214398,SCANIA
0214747,SCANIA
0214807,SCANIA
0215715,SCANIA
0215720,SCANIA
0215881,SCANIA
0216556,SCANIA
0216955,SCANIA
0216976,SCANIA
0217303,SCANIA
0217385,SCANIA
0217517,SCANIA
0218237,SCANIA
0218566,SCANIA
0218684,SCANIA
0218685,SCANIA
0218686,SCANIA
0218833,SCANIA
0218834,SCANIA
0219193,SCANIA
0219509,SCANIA
219517,SCANIA
0222095,SCANIA
0222499,SCANIA
0223315,SCANIA
0223895,SCANIA
0224086,SCANIA
0224087,SCANIA
0224133,SCANIA
0224134,SCANIA
0225440,SCANIA
0225443,SCANIA
0225576,SCANIA
0225898,SCANIA
0228483,SCANIA
0228632,SCANIA
0228836,SCANIA
0228842,SCANIA
0229093,SCANIA
0229094,SCANIA
0229824,SCANIA
0229826,SCANIA
0229840,SCANIA
0230339,SCANIA
0230405,SCANIA
0230613,SCANIA
0230616,SCANIA
0231127,SCANIA
0231795,SCANIA
0231842,SCANIA
0231936,SCANIA
0231938,SCANIA
0232018,SCANIA
0232035,SCANIA
0232043,SCANIA
0232044,SCANIA
0232062,SCANIA
0232063,SCANIA
0232144,SCANIA
0232612,SCANIA
0232624,SCANIA
0232625,SCANIA
0232626,SCANIA
0233200,SCANIA
0233945,SCANIA
0234017,SCANIA
0234184,SCANIA
0234324,SCANIA
0234338,SCANIA
0234350,SCANIA
0234387,SCANIA
0234736,SCANIA
0234869,SCANIA
0234908,SCANIA
0234909,SCANIA
0234910,SCANIA
0234911,SCANIA
0234912,SCANIA
0235140,SCANIA
0235670,SCANIA
0236308,SCANIA
0236315,SCANIA
0236317,SCANIA
0237884,SCANIA
0238148,SCANIA
0238403,SCANIA
0238999,SCANIA
0239759,SCANIA
0240597,SCANIA
0241067,SCANIA
0241425,SCANIA
0241429,SCANIA
241805,SCANIA
0241922,SCANIA
0242162,SCANIA
0242264,SCANIA
0242338,SCANIA
0242573,SCANIA
0242653,SCANIA
0242672,SCANIA
0242673,SCANIA
0242706,SCANIA
0242714,SCANIA
0242856,SCANIA
0242857,SCANIA
0243457,SCANIA
0243460,SCANIA
0243489,SCANIA
0243490,SCANIA
0243593,SCANIA
0243648,SCANIA
0243955,SCANIA
0244090,SCANIA
0244347,SCANIA
0244437,SCANIA
0244620,SCANIA
0244622,SCANIA
0244623,SCANIA
0244780,SCANIA
0244948,SCANIA
0244990,SCANIA
244991,SCANIA
0244995,SCANIA
0245487,SCANIA
0245488,SCANIA
0245990,SCANIA
0246257,SCANIA
0246428,SCANIA
246637,SCANIA
0246638,SCANIA
0246855,SCANIA
0247704,SCANIA
0248953,SCANIA
0249592,SCANIA
0249617,SCANIA
0249825,SCANIA
0249928,SCANIA
0249970,SCANIA
0250318,SCANIA
0250570,SCANIA
0250995,SCANIA
0250996,SCANIA
0251062,SCANIA
0251348,SCANIA
0251388,SCANIA
0251899,SCANIA
0252024,SCANIA
0252490,SCANIA
0252491,SCANIA
0252497,SCANIA
0252914,SCANIA
0253527,SCANIA
0254333,SCANIA
0254527,SCANIA
0254775,SCANIA
0254917,SCANIA
0255028,SCANIA
0255079,SCANIA
0255315,SCANIA
0255501,SCANIA
0255502,SCANIA
0255527,SCANIA
255573,SCANIA
0255574,SCANIA
0255575,SCANIA
0255576,SCANIA
0255577,SCANIA
0255578,SCANIA
0255669,SCANIA
0255669,SCANIA
0257228,SCANIA
257232,SCANIA
0257763,SCANIA
0257772,SCANIA
0258410,SCANIA
0258411,SCANIA
0258412,SCANIA
0258458,SCANIA
0258459,SCANIA
0258508,SCANIA
0259065,SCANIA
0259100,SCANIA
0260219,SCANIA
0260998,SCANIA
0261185,SCANIA
0261562,SCANIA
0261575,SCANIA
0261583,SCANIA
0261584,SCANIA
0263161,SCANIA
0263667,SCANIA
0264043,SCANIA
0264044,SCANIA
0264125,SCANIA
0264310,SCANIA
0264311,SCANIA
0264380,SCANIA
0264550,SCANIA
0264816,SCANIA
0264846,SCANIA
0264876,SCANIA
0264877,SCANIA
0264883,SCANIA
0264895,SCANIA
0264906,SCANIA
0265446,SCANIA
0265447,SCANIA
0265476,SCANIA
0265768,SCANIA
0267353,SCANIA
267460,SCANIA
268270,SCANIA
0268280,SCANIA
0268935,SCANIA
0269124,SCANIA
0269317,SCANIA
0269319,SCANIA
0269715,SCANIA
0269716,SCANIA
269733,SCANIA
0269773,SCANIA
0269777,SCANIA
0270142,SCANIA
0270173,SCANIA
0270588,SCANIA
0270738,SCANIA
0270739,SCANIA
0270842,SCANIA
0270999,SCANIA
0271001,SCANIA
0271238,SCANIA
0271488,SCANIA
0271489,SCANIA
0271525,SCANIA
0271676,SCANIA
272400,SCANIA
0272400,SCANIA
0272449,SCANIA
0272853,SCANIA
0272942,SCANIA
0272952,SCANIA
0273020,SCANIA
0273022,SCANIA
0273023,SCANIA
0273024,SCANIA
0273120,SCANIA
0273337,SCANIA
0273793,SCANIA
0274108,SCANIA
0274142,SCANIA
0274211,SCANIA
0274473,SCANIA
0274521,SCANIA
0274644,SCANIA
0275036,SCANIA
0275460,SCANIA
0275568,SCANIA
0275591,SCANIA
0275698,SCANIA
0275750,SCANIA
0276087,SCANIA
276116,SCANIA
276118,SCANIA
0276163,SCANIA
0276228,SCANIA
0276229,SCANIA
0276236,SCANIA
0276418,SCANIA
0276421,SCANIA
0276517,SCANIA
0276518,SCANIA
0276525,SCANIA
0276526,SCANIA
0276587,SCANIA
0276872,SCANIA
0277264,SCANIA
0277272,SCANIA
0277273,SCANIA
0277765,SCANIA
0277785,SCANIA
0278102,SCANIA
0278198,SCANIA
278263,SCANIA
0278334,SCANIA
0278531,SCANIA
0278599,SCANIA
0278665,SCANIA
0278734,SCANIA
0278735,SCANIA
0278736,SCANIA
0278874,SCANIA
0278934,SCANIA
0278936,SCANIA
279011,SCANIA
0279052,SCANIA
0279064,SCANIA
0279065,SCANIA
279112,SCANIA
0279113,SCANIA
279113,SCANIA
0279114,SCANIA
0279115,SCANIA
0279116,SCANIA
0279574,SCANIA
0279600,SCANIA
0279601,SCANIA
279603,SCANIA
0279604,SCANIA
0279605,SCANIA
0279606,SCANIA
0279609,SCANIA
0279610,SCANIA
0279611,SCANIA
0279612,SCANIA
0279613,SCANIA
0279613,SCANIA
0279614,SCANIA
0279614,SCANIA
0279615,SCANIA
0279616,SCANIA
0279619,SCANIA
0279620,SCANIA
0279621,SCANIA
0279621,SCANIA
0279622,SCANIA
0279622,SCANIA
0279623,SCANIA
0279624,SCANIA
0279625,SCANIA
0279626,SCANIA
0279629,SCANIA
0279826,SCANIA
0279827,SCANIA
0279845,SCANIA
0279927,SCANIA
0279951,SCANIA
0280377,SCANIA
0280378,SCANIA
0280502,SCANIA
0280553,SCANIA
0280588,SCANIA
0280651,SCANIA
280805,SCANIA
0280891,SCANIA
0280892,SCANIA
0280944,SCANIA
0281377,SCANIA
0281378,SCANIA
0281525,SCANIA
0281527,SCANIA
0282655,SCANIA
0282662,SCANIA
0282799,SCANIA
0282954,SCANIA
0283097,SCANIA
0283211,SCANIA
0283262,SCANIA
0283281,SCANIA
0283295,SCANIA
0283319,SCANIA
0283414,SCANIA
0283642,SCANIA
0283783,SCANIA
0283784,SCANIA
0283787,SCANIA
0284015,SCANIA
0284399,SCANIA
0284444,SCANIA
0284675,SCANIA
0284843,SCANIA
0284988,SCANIA
0284992,SCANIA
0284997,SCANIA
0285037,SCANIA
