part_number,manufacture
1381813,SCANIA
1384549,SCANIA
1393551,SCANIA
1455253,SCANIA
1455253,SCANIA
18,SCANIA
181,SCANIA
1393551,SCANIA
217517,SCANIA
219517,SCANIA
261185,SCANIA
370750,SCANIA
370754,SCANIA
395773,SCANIA
395776,SCANIA
1335678,SCANIA
1335679,SCANIA
1387548,SCANIA
1387549,SCANIA
1421021,SCANIA
1421022,SCANIA
1526086,SCANIA
1526087,SCANIA
1869993,SCANIA
275588,SCANIA
1869992,SCANIA
10,SCANIA
180,SCANIA
252,SCANIA
261,SCANIA
1485592,SCANIA
1510905,SCANIA
1869993,SCANIA
1869995,SCANIA
1872151,SCANIA
1379952,SCANIA
1420197,SCANIA
1770813,SCANIA
1913500,SCANIA
1913503,SCANIA
342988,SCANIA
342988,SCANIA
378396,SCANIA
343144,SCANIA
364624,SCANIA
1372444,SCANIA
1393640,SCANIA
1411894,SCANIA
1429059,SCANIA
1446432,SCANIA
1459762,SCANIA
1780730,SCANIA
1794863,SCANIA
1873016,SCANIA
1873018,SCANIA
2003505,SCANIA
16,SCANIA
163,SCANIA
187,SCANIA
189,SCANIA
1393640,SCANIA
1780730,SCANIA
1873016,SCANIA
1873018,SCANIA
153468,SCANIA
1327488,SCANIA
153468,SCANIA
274108,SCANIA
1301696,SCANIA
1381235,SCANIA
1893214,SCANIA
173171,SCANIA
1117285,SCANIA
1439036,SCANIA
1742032,SCANIA
2022275,SCANIA
397813,SCANIA
1869990,SCANIA
1869991,SCANIA
218,SCANIA
1907422,SCANIA
